,Province,Code Province,Territoire,Code Territoire,Zone de Santé,Pcode ZS,CLSHL_CO1_IN1_atteint,CLSHL_CO1_IN3_atteint,CLSHL_CO1_IN2_atteint,CLSHL_CO2_IN2_atteint,CLSHL_CO2_IN1_atteint,CLSHL_CO3_IN2_atteint,CLSHL_CO3_IN3_atteint,CLSHL_CO3_IN1_atteint,CLSHL_CO4_IN3_atteint,CLSHL_CO4_IN2_atteint,CLSHL_CO4_IN1_atteint,code zs_x,CLSHL_CO1_IN1_Total cible,CLSHL_CO1_IN3_Total cible,CLSHL_CO1_IN2_Total cible,CLSHL_CO2_IN2_Total cible,CLSHL_CO2_IN1_Total cible,CLSHL_CO3_IN2_Total cible,CLSHL_CO3_IN3_Total cible,CLSHL_CO3_IN1_Total cible,CLSHL_CO4_IN3_Total cible,CLSHL_CO4_IN2_Total cible,CLSHL_CO4_IN1_Total cible,CLNUT_CO1_IN1_atteint,CLNUT_CO1_IN2_atteint,CLNUT_CO1_IN3_atteint,CLNUT_CO1_IN1_Total cible,CLNUT_CO1_IN2_Total cible,CLNUT_CO1_IN3_Total cible,Province_x,Code Province_x,Territoire_x,Code Territoire_x,Zone de Santé_x,CLAME_CO1_IN2_atteint,CLAME_CO1_IN3_atteint,CLAME_CO1_IN1_atteint,CLAME_CO2_IN1_atteint,CLAME_CO3_IN2_atteint,CLAME_CO3_IN3_atteint,CLAME_CO3_IN1_atteint,code zs_x,CLAME_CO1_IN2_Total cible,CLAME_CO1_IN3_Total cible,CLAME_CO1_IN1_Total cible,CLAME_CO2_IN1_Total cible,CLAME_CO3_IN2_Total cible,CLAME_CO3_IN3_Total cible,CLAME_CO3_IN1_Total cible,CLEDU_CO1_IN1_atteint,CLEDU_CO2_IN1_atteint,CLEDU_CO3_IN1_atteint,CLEDU_CO4_IN1_atteint,CLEDU_CO1_IN1_Total cible,CLEDU_CO2_IN1_Total cible,CLEDU_CO3_IN1_Total cible,CLEDU_CO4_IN1_Total cible,Province_x,Code Province_x,Territoire_x,Code Territoire_x,Zone de Santé_x,CLWSH_CO1_IN1_atteint,CLWSH_CO2_IN1_atteint,CLWSH_CO3_IN1_atteint,CLWSH_CO4_IN1_atteint,CLWSH_CO5_IN1_atteint,code zs_x,CLWSH_CO1_IN1_Total cible,CLWSH_CO2_IN1_Total cible,CLWSH_CO3_IN1_Total cible,CLWSH_CO4_IN1_Total cible,CLWSH_CO5_IN1_Total cible,CLFSC_CO1_IN2_atteint,CLFSC_CO1_IN1_atteint,CLFSC_CO2_IN2_atteint,CLFSC_CO2_IN1_atteint,CLFSC_CO1_IN2_Total cible,CLFSC_CO1_IN1_Total cible,CLFSC_CO2_IN2_Total cible,CLFSC_CO2_IN1_Total cible,Province_x,Code Province_x,Territoire_x,Code Territoire_x,Zone de Santé_x,CLPRO_CO1_IN2_atteint,CLPRO_CO1_IN1_atteint,CLPRO_CO2_IN1_atteint,CLPRO_CO3_IN1_atteint,CLPRO_CO4_IN1_atteint,code zs_x,CLPRO_CO1_IN2_Total cible,CLPRO_CO1_IN1_Total cible,CLPRO_CO2_IN1_Total cible,CLPRO_CO3_IN1_Total cible,CLPRO_CO4_IN1_Total cible,CLPRO-CPN_CO1_IN1_atteint,CLPRO-CPN_CO2_IN2_atteint,CLPRO-CPN_CO3_IN1_atteint,CLPRO-CPN_CO4_IN2_atteint,CLPRO-CPN_CO4_IN1_atteint,CLPRO-CPN_CO5_IN1_atteint,CLPRO-CPN_CO6_IN1_atteint,CLPRO-CPN_CO7_IN1_atteint,CLPRO-CPN_CO1_IN1_Total cible,CLPRO-CPN_CO2_IN2_Total cible,CLPRO-CPN_CO3_IN1_Total cible,CLPRO-CPN_CO4_IN2_Total cible,CLPRO-CPN_CO4_IN1_Total cible,CLPRO-CPN_CO5_IN1_Total cible,CLPRO-CPN_CO6_IN1_Total cible,CLPRO-CPN_CO7_IN1_Total cible,Province_x,Code Province_x,Territoire_x,Code Territoire_x,Zone de Santé_x,CLPRO-GBV_CO1_IN5_atteint,CLPRO-GBV_CO1_IN4_atteint,CLPRO-GBV_CO1_IN3_atteint,CLPRO-GBV_CO1_IN1_atteint,CLPRO-GBV_CO1_IN2_atteint,CLPRO-GBV_CO2_IN1_atteint,CLPRO-GBV_CO2_IN2_atteint,CLPRO-GBV_CO3_IN1_atteint,CLPRO-GBV_CO3_IN3_atteint,CLPRO-GBV_CO3_IN2_atteint,code zs_x,CLPRO-GBV_CO1_IN5_Total cible,CLPRO-GBV_CO1_IN4_Total cible,CLPRO-GBV_CO1_IN3_Total cible,CLPRO-GBV_CO1_IN1_Total cible,CLPRO-GBV_CO1_IN2_Total cible,CLPRO-GBV_CO2_IN1_Total cible,CLPRO-GBV_CO2_IN2_Total cible,CLPRO-GBV_CO3_IN1_Total cible,CLPRO-GBV_CO3_IN3_Total cible,CLPRO-GBV_CO3_IN2_Total cible,CLPRO-HLP_CO1_IN2_atteint,CLPRO-HLP_CO1_IN1_atteint,CLPRO-HLP_CO2_IN1_atteint,CLPRO-HLP_CO3_IN1_atteint,CLPRO-HLP_CO3_IN2_atteint,CLPRO-HLP_CO4_IN1_atteint,CLPRO-HLP_CO1_IN2_Total cible,CLPRO-HLP_CO1_IN1_Total cible,CLPRO-HLP_CO2_IN1_Total cible,CLPRO-HLP_CO3_IN1_Total cible,CLPRO-HLP_CO3_IN2_Total cible,CLPRO-HLP_CO4_IN1_Total cible,Province_x,Code Province_x,Territoire_x,Code Territoire_x,Zone de Santé_x,CLPRO-MIN_CO1_IN1_atteint,CLPRO-MIN_CO2_IN1_atteint,CLPRO-MIN_CO3_IN1_atteint,code zs_x,CLPRO-MIN_CO1_IN1_Total cible,CLPRO-MIN_CO2_IN1_Total cible,CLPRO-MIN_CO3_IN1_Total cible,CLHEA_CO1_IN1_atteint,CLHEA_CO1_IN3_atteint,CLHEA_CO1_IN2_atteint,CLHEA_CO2_IN4_atteint,CLHEA_CO2_IN1_atteint,CLHEA_CO2_IN2_atteint,CLHEA_CO2_IN3_atteint,CLHEA_CO2_IN5_atteint,CLHEA_CO3_IN2_atteint,CLHEA_CO3_IN1_atteint,CLHEA_CO1_IN1_Total cible,CLHEA_CO1_IN3_Total cible,CLHEA_CO1_IN2_Total cible,CLHEA_CO2_IN4_Total cible,CLHEA_CO2_IN1_Total cible,CLHEA_CO2_IN2_Total cible,CLHEA_CO2_IN3_Total cible,CLHEA_CO2_IN5_Total cible,CLHEA_CO3_IN2_Total cible,CLHEA_CO3_IN1_Total cible
0,Kinshasa,CD10,Kinshasa,CD1000,Bandalungwa,CD1000ZS01,0,0,0,0,0,0,0,0,0,0,0,CD1000ZS01,,,,,,,,,,,,0,0,0,920,2657,0,Kinshasa,CD10,Kinshasa,CD1000,Bandalungwa,0,0,19875,0,0,0,0,CD1000ZS01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kinshasa,CD10,Kinshasa,CD1000,Bandalungwa,0,0,0,0,0,CD1000ZS01,0,0,0,0,0,0,0,0,0,0,0,0,0,Kinshasa,CD10,Kinshasa,CD1000,Bandalungwa,0,0,0,0,0,CD1000ZS01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kinshasa,CD10,Kinshasa,CD1000,Bandalungwa,0,0,0,1,100,0,0,0,0,0,CD1000ZS01,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,Kinshasa,CD10,Kinshasa,CD1000,Bandalungwa,0,0,0,CD1000ZS01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Kinshasa,CD10,Kinshasa,CD1000,Barumbu,CD1000ZS02,0,0,0,0,0,0,0,0,0,0,0,CD1000ZS02,,,,,,,,,,,,0,0,0,769,2241,0,Kinshasa,CD10,Kinshasa,CD1000,Barumbu,0,0,0,0,0,0,0,CD1000ZS02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kinshasa,CD10,Kinshasa,CD1000,Barumbu,0,0,0,0,0,CD1000ZS02,0,0,0,0,0,0,0,0,0,0,0,0,0,Kinshasa,CD10,Kinshasa,CD1000,Barumbu,0,0,0,0,0,CD1000ZS02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kinshasa,CD10,Kinshasa,CD1000,Barumbu,0,0,0,1,100,0,0,0,0,0,CD1000ZS02,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,Kinshasa,CD10,Kinshasa,CD1000,Barumbu,0,0,0,CD1000ZS02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Kinshasa,CD10,Kinshasa,CD1000,Binza Meteo,CD1000ZS03,0,0,0,0,0,0,0,0,0,0,0,CD1000ZS03,,,,,,,,,,,,0,0,0,2032,5795,0,Kinshasa,CD10,Kinshasa,CD1000,Binza Meteo,0,0,0,0,0,0,0,CD1000ZS03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kinshasa,CD10,Kinshasa,CD1000,Binza Meteo,0,0,0,0,0,CD1000ZS03,0,0,0,0,0,0,0,0,0,0,0,0,0,Kinshasa,CD10,Kinshasa,CD1000,Binza Meteo,0,0,0,0,0,CD1000ZS03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kinshasa,CD10,Kinshasa,CD1000,Binza Meteo,0,0,0,0,0,0,0,0,0,0,CD1000ZS03,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,Kinshasa,CD10,Kinshasa,CD1000,Binza Meteo,0,0,0,CD1000ZS03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Kinshasa,CD10,Kinshasa,CD1000,Binza Ozone,CD1000ZS04,0,0,0,0,0,0,0,0,0,0,0,CD1000ZS04,,,,,,,,,,,,0,0,0,1894,5451,0,Kinshasa,CD10,Kinshasa,CD1000,Binza Ozone,0,0,0,0,0,0,0,CD1000ZS04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kinshasa,CD10,Kinshasa,CD1000,Binza Ozone,0,0,0,0,0,CD1000ZS04,0,0,0,0,0,0,0,0,0,0,0,0,0,Kinshasa,CD10,Kinshasa,CD1000,Binza Ozone,0,0,0,0,0,CD1000ZS04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kinshasa,CD10,Kinshasa,CD1000,Binza Ozone,0,0,0,0,0,0,0,0,0,0,CD1000ZS04,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,Kinshasa,CD10,Kinshasa,CD1000,Binza Ozone,0,0,0,CD1000ZS04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Kinshasa,CD10,Kinshasa,CD1000,Biyela,CD1000ZS05,0,0,0,0,0,0,0,0,0,0,0,CD1000ZS05,,,,,,,,,,,,10,0,0,1139,3311,0,Kinshasa,CD10,Kinshasa,CD1000,Biyela,0,0,0,0,0,0,0,CD1000ZS05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kinshasa,CD10,Kinshasa,CD1000,Biyela,0,0,0,0,0,CD1000ZS05,0,0,0,0,0,0,0,0,0,0,0,0,0,Kinshasa,CD10,Kinshasa,CD1000,Biyela,0,0,0,0,0,CD1000ZS05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kinshasa,CD10,Kinshasa,CD1000,Biyela,0,0,0,1,100,0,0,0,0,0,CD1000ZS05,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,Kinshasa,CD10,Kinshasa,CD1000,Biyela,0,0,0,CD1000ZS05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3705,0,0
5,Kinshasa,CD10,Kinshasa,CD1000,Bumbu,CD1000ZS06,0,0,0,0,0,0,0,0,0,0,0,CD1000ZS06,,,,,,,,,,,,10,0,0,2097,6010,0,Kinshasa,CD10,Kinshasa,CD1000,Bumbu,0,0,930,0,0,0,0,CD1000ZS06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kinshasa,CD10,Kinshasa,CD1000,Bumbu,0,0,0,0,0,CD1000ZS06,0,0,0,0,0,0,0,0,0,0,0,0,0,Kinshasa,CD10,Kinshasa,CD1000,Bumbu,0,0,0,0,0,CD1000ZS06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kinshasa,CD10,Kinshasa,CD1000,Bumbu,0,0,0,3,66.6666666666667,0,0,0,0,0,CD1000ZS06,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,Kinshasa,CD10,Kinshasa,CD1000,Bumbu,0,0,0,CD1000ZS06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Kinshasa,CD10,Kinshasa,CD1000,Gombe,CD1000ZS07,0,0,0,0,0,0,0,0,0,0,0,CD1000ZS07,,,,,,,,,,,,2,0,0,451,1314,0,Kinshasa,CD10,Kinshasa,CD1000,Gombe,0,0,0,0,0,0,0,CD1000ZS07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kinshasa,CD10,Kinshasa,CD1000,Gombe,0,0,0,0,0,CD1000ZS07,0,0,0,0,0,0,0,0,0,0,0,0,0,Kinshasa,CD10,Kinshasa,CD1000,Gombe,0,0,0,0,0,CD1000ZS07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kinshasa,CD10,Kinshasa,CD1000,Gombe,0,0,0,4,0,0,0,0,0,0,CD1000ZS07,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,Kinshasa,CD10,Kinshasa,CD1000,Gombe,0,0,0,CD1000ZS07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Kinshasa,CD10,Kinshasa,CD1000,Kalamu I,CD1000ZS08,0,0,0,0,0,0,0,0,0,0,0,CD1000ZS08,,,,,,,,,,,,0,0,0,738,2170,0,Kinshasa,CD10,Kinshasa,CD1000,Kalamu I,0,0,500,0,0,0,0,CD1000ZS08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kinshasa,CD10,Kinshasa,CD1000,Kalamu I,0,0,0,0,0,CD1000ZS08,0,0,0,0,0,0,0,0,0,0,0,0,0,Kinshasa,CD10,Kinshasa,CD1000,Kalamu I,0,0,0,0,0,CD1000ZS08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kinshasa,CD10,Kinshasa,CD1000,Kalamu I,0,0,0,0,0,0,0,0,0,0,CD1000ZS08,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,Kinshasa,CD10,Kinshasa,CD1000,Kalamu I,0,0,0,CD1000ZS08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2401,0,0
8,Kinshasa,CD10,Kinshasa,CD1000,Kalamu II,CD1000ZS09,0,0,0,0,0,0,0,0,0,0,0,CD1000ZS09,,,,,,,,,,,,0,0,0,659,1907,0,Kinshasa,CD10,Kinshasa,CD1000,Kalamu II,0,0,0,0,0,0,0,CD1000ZS09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kinshasa,CD10,Kinshasa,CD1000,Kalamu II,0,0,0,0,0,CD1000ZS09,0,0,0,0,0,0,0,0,0,0,0,0,0,Kinshasa,CD10,Kinshasa,CD1000,Kalamu II,0,0,0,0,0,CD1000ZS09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kinshasa,CD10,Kinshasa,CD1000,Kalamu II,0,0,0,0,0,0,0,0,0,0,CD1000ZS09,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,Kinshasa,CD10,Kinshasa,CD1000,Kalamu II,0,0,0,CD1000ZS09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Kinshasa,CD10,Kinshasa,CD1000,Kasa-Vubu,CD1000ZS10,0,0,0,0,0,0,0,0,0,0,0,CD1000ZS10,,,,,,,,,,,,0,0,0,673,1953,0,Kinshasa,CD10,Kinshasa,CD1000,Kasa-Vubu,0,0,0,0,0,0,0,CD1000ZS10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kinshasa,CD10,Kinshasa,CD1000,Kasa-Vubu,0,0,0,0,0,CD1000ZS10,0,0,0,0,0,0,0,0,0,0,0,0,0,Kinshasa,CD10,Kinshasa,CD1000,Kasa-Vubu,0,0,0,0,0,CD1000ZS10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kinshasa,CD10,Kinshasa,CD1000,Kasa-Vubu,0,0,0,90,2.22222222222222,0,0,0,0,0,CD1000ZS10,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,Kinshasa,CD10,Kinshasa,CD1000,Kasa-Vubu,0,0,0,CD1000ZS10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
